ResponseId,Age,Country_Normalized,EdLevel_Normalized,devtype_grouped,YearsCodePro_Normalized,ConvertedCompYearly,RemoteWork
623,35-44 years old,Germany,Master degree,Software Developer,20.0,97740.0,Remote
629,25-34 years old,Cyprus,Some college,Software Developer,11.0,93980.0,Remote
630,35-44 years old,Paraguay,Master degree,Software Developer,9.0,100000.0,Remote
632,18-24 years old,Switzerland,high-school,Software Developer,6.0,128129.0,Hybrid
633,25-34 years old,France,Professional degree,Software Developer,12.0,44037.0,Hybrid
634,25-34 years old,USA,Master degree,Software Developer,1.0,101000.0,Hybrid
641,45-54 years old,Ireland,Some college,Software Developer,30.0,161109.0,Hybrid
642,35-44 years old,Germany,Professional degree,Software Developer,14.0,89147.0,Hybrid
650,25-34 years old,Lithuania,Master degree,Software Developer,10.0,90221.0,Hybrid
651,25-34 years old,Italy,Bachelor degree,Software Developer,10.0,86999.0,Remote
653,25-34 years old,USA,Bachelor degree,Software Developer,17.0,190000.0,Remote
655,18-24 years old,Uk,high-school,Software Developer,0.0,31847.0,In-person
656,45-54 years old,Italy,high-school,Software Developer,30.0,37592.0,In-person
657,55-64 years old,Netherlands,Master degree,Software Developer,30.0,53703.0,Hybrid
659,25-34 years old,Netherlands,Master degree,Software Developer,11.0,150369.0,Hybrid
660,18-24 years old,Germany,high-school,Software Developer,1.0,10955.0,In-person
661,25-34 years old,Slovenia,Associate degree,Software Developer,6.0,53703.0,Hybrid
663,35-44 years old,Romania,Some college,Software Developer,17.0,161109.0,Remote
664,35-44 years old,Spain,Bachelor degree,Software Developer,24.0,32222.0,Remote
666,25-34 years old,India,Master degree,Management,11.0,47854.0,Remote
670,18-24 years old,USA,Bachelor degree,Software Developer,5.0,118000.0,Hybrid
671,45-54 years old,USA,Bachelor degree,Research & Education,20.0,150000.0,In-person
672,35-44 years old,USA,Master degree,Software Developer,2.0,87250.0,Hybrid
676,18-24 years old,Germany,Bachelor degree,Software Developer,5.0,55851.0,Hybrid
678,45-54 years old,Spain,Master degree,Software Developer,22.0,42962.0,Remote
680,25-34 years old,Netherlands,Bachelor degree,Software Developer,6.0,56925.0,Hybrid
682,35-44 years old,Germany,Master degree,Software Developer,8.0,91295.0,Hybrid
683,45-54 years old,Russia,Master degree,Software Developer,18.0,56022.0,Remote
686,25-34 years old,USA,Bachelor degree,Software Developer,10.0,124000.0,Hybrid
688,18-24 years old,Brazil,Some college,Software Developer,4.0,10070.0,In-person
690,25-34 years old,Italy,Bachelor degree,Software Developer,11.0,91295.0,Remote
691,55-64 years old,USA,Bachelor degree,Infrastructure & DevOps,40.0,120000.0,Remote
692,25-34 years old,France,Master degree,Software Developer,1.0,44037.0,Hybrid
693,25-34 years old,Pakistan,Bachelor degree,Infrastructure & DevOps,7.0,85925.0,Hybrid
695,45-54 years old,Netherlands,Some college,Software Developer,26.0,6230.0,Hybrid
697,45-54 years old,Ukraine,Some college,Software Developer,2.0,4937.0,Remote
700,45-54 years old,Germany,Master degree,Software Developer,17.0,139628.0,Remote
701,25-34 years old,Canada,Associate degree,Infrastructure & DevOps,5.0,181732.0,Remote
703,25-34 years old,USA,Bachelor degree,Software Developer,10.0,205000.0,Remote
707,55-64 years old,Venezuela,Bachelor degree,Software Developer,20.0,12000.0,Remote
708,35-44 years old,Japan,Master degree,Research & Education,7.0,50915.0,In-person
710,25-34 years old,France,Bachelor degree,Software Developer,6.0,69814.0,Remote
712,25-34 years old,Latvia,Master degree,Management,13.0,32222.0,In-person
715,35-44 years old,USA,Bachelor degree,Software Developer,13.0,163000.0,Remote
718,25-34 years old,Sweden,Bachelor degree,Software Developer,9.0,70584.0,Hybrid
719,25-34 years old,Costa Rica,Bachelor degree,Software Developer,15.0,200000.0,Remote
720,55-64 years old,Italy,high-school,Software Developer,38.0,107406.0,Hybrid
722,35-44 years old,Poland,Professional degree,Software Developer,12.0,74239.0,Hybrid
723,18-24 years old,India,Bachelor degree,Software Developer,4.0,9571.0,Hybrid
725,35-44 years old,France,Professional degree,Research & Education,5.0,66592.0,In-person
726,65 years or older,Uk,Bachelor degree,Software Developer,20.0,57325.0,Remote
728,35-44 years old,Uk,Master degree,Software Developer,23.0,56051.0,Hybrid
729,35-44 years old,Italy,Bachelor degree,Software Developer,10.0,27926.0,In-person
730,45-54 years old,Germany,Professional degree,Management,25.0,214812.0,Remote
731,25-34 years old,USA,Bachelor degree,Software Developer,7.0,105000.0,Remote
733,55-64 years old,Brazil,Bachelor degree,Software Developer,38.0,49233.0,Remote
734,35-44 years old,Czech Republic,Some college,Software Developer,18.0,43435.0,In-person
738,25-34 years old,Ukraine,Master degree,Software Developer,6.0,48000.0,Remote
739,35-44 years old,USA,Bachelor degree,Software Developer,12.0,70000.0,Hybrid
741,45-54 years old,USA,Bachelor degree,Software Developer,25.0,150000.0,Hybrid
742,35-44 years old,Uk,Bachelor degree,Management,13.0,127388.0,Remote
743,45-54 years old,Spain,Professional degree,Research & Education,31.0,53703.0,Hybrid
745,25-34 years old,Netherlands,Master degree,Software Developer,12.0,91295.0,Hybrid
747,35-44 years old,Canada,Master degree,Data & AI,15.0,122124.0,Remote
751,35-44 years old,Norway,Master degree,Software Developer,10.0,149746.0,Hybrid
754,35-44 years old,Germany,Master degree,Software Developer,9.0,137136.0,Remote
760,25-34 years old,Austria,high-school,Software Developer,14.0,80555.0,Remote
762,25-34 years old,USA,Bachelor degree,Software Developer,17.0,175000.0,Remote
763,18-24 years old,USA,Some college,Research & Education,1.0,39520.0,In-person
764,35-44 years old,Uk,Master degree,Software Developer,14.0,68535.0,Hybrid
765,25-34 years old,USA,Bachelor degree,Software Developer,2.0,120000.0,In-person
766,25-34 years old,Uk,Master degree,Infrastructure & DevOps,11.0,114649.0,Remote
769,35-44 years old,USA,Bachelor degree,Software Developer,12.0,80000.0,Remote
770,35-44 years old,Poland,Master degree,Security & Blockchain,20.0,120000.0,Remote
771,18-24 years old,Uk,Bachelor degree,Software Developer,0.0,33121.0,In-person
773,18-24 years old,Ukraine,Bachelor degree,Software Developer,0.0,167.0,Remote
775,25-34 years old,Portugal,Master degree,Software Developer,11.0,128887.0,Hybrid
777,45-54 years old,Finland,Some college,Software Developer,27.0,84851.0,Remote
779,35-44 years old,Canada,Master degree,Software Developer,20.0,87231.0,Remote
780,25-34 years old,Canada,Bachelor degree,Software Developer,12.0,93047.0,Hybrid
781,18-24 years old,Israel,high-school,Software Developer,4.0,64762.0,Hybrid
782,35-44 years old,USA,Master degree,Software Developer,13.0,163000.0,Hybrid
783,25-34 years old,Germany,Master degree,Software Developer,7.0,78621.0,Hybrid
786,25-34 years old,Netherlands,Master degree,Software Developer,4.0,64444.0,Hybrid
787,25-34 years old,Lithuania,Some college,Management,8.0,85925.0,Hybrid
788,35-44 years old,Uk,Professional degree,Software Developer,10.0,84076.0,Remote
789,35-44 years old,Germany,Master degree,Software Developer,15.0,83777.0,Hybrid
790,35-44 years old,Ukraine,Master degree,Software Developer,17.0,72000.0,Remote
792,25-34 years old,Uk,Bachelor degree,Software Developer,2.0,35032.0,Hybrid
793,25-34 years old,USA,Bachelor degree,Software Developer,3.0,150000.0,In-person
795,25-34 years old,Canada,Master degree,Software Developer,12.0,123578.0,Remote
796,35-44 years old,Netherlands,Master degree,Software Developer,18.0,161109.0,Remote
797,25-34 years old,Venezuela,Bachelor degree,Software Developer,5.0,15600.0,Remote
800,25-34 years old,Finland,Bachelor degree,Software Developer,8.0,46185.0,Hybrid
803,45-54 years old,Uk,Bachelor degree,Software Developer,23.0,63694.0,In-person
804,18-24 years old,Uk,Bachelor degree,Software Developer,3.0,73885.0,Hybrid
806,55-64 years old,USA,Professional degree,Research & Education,25.0,145000.0,Hybrid
808,25-34 years old,USA,Bachelor degree,Software Developer,2.0,92000.0,In-person
809,55-64 years old,Uk,Bachelor degree,Software Developer,32.0,80254.0,Remote
811,55-64 years old,USA,Some college,Management,28.0,118106.0,In-person
812,35-44 years old,USA,Bachelor degree,Software Developer,11.0,200000.0,Hybrid
816,25-34 years old,Italy,Associate degree,Software Developer,18.0,32222.0,In-person
817,25-34 years old,USA,Bachelor degree,Software Developer,4.0,110000.0,Remote
818,45-54 years old,Sweden,high-school,Software Developer,34.0,76307.0,In-person
819,35-44 years old,Nicaragua,Professional degree,Data & AI,10.0,72600.0,In-person
822,35-44 years old,Cyprus,Bachelor degree,Management,9.0,161109.0,Remote
824,35-44 years old,USA,Bachelor degree,Other,10.0,215000.0,Remote
825,25-34 years old,USA,Master degree,Software Developer,6.0,145000.0,Remote
826,25-34 years old,India,Bachelor degree,Software Developer,4.0,41872.0,In-person
828,25-34 years old,Czech Republic,Master degree,Research & Education,10.0,3040.0,Hybrid
830,25-34 years old,USA,Bachelor degree,Management,10.0,195000.0,Remote
831,55-64 years old,USA,Bachelor degree,Software Developer,38.0,165000.0,Hybrid
833,25-34 years old,Netherlands,Some college,Software Developer,10.0,36518.0,Hybrid
834,35-44 years old,South Africa,Master degree,Data & AI,8.0,75332.0,Hybrid
835,25-34 years old,Pakistan,Bachelor degree,Software Developer,5.0,12921.0,In-person
836,25-34 years old,Ukraine,Bachelor degree,Software Developer,8.0,24000.0,Remote
842,25-34 years old,USA,Bachelor degree,Research & Education,10.0,127000.0,Hybrid
844,18-24 years old,USA,Bachelor degree,Software Developer,2.0,98000.0,Remote
845,45-54 years old,USA,Professional degree,Management,0.0,90000.0,Hybrid
847,45-54 years old,France,Master degree,Software Developer,24.0,53703.0,Hybrid
853,35-44 years old,USA,Master degree,Software Developer,8.0,175000.0,Remote
855,25-34 years old,USA,Bachelor degree,Software Developer,6.0,159000.0,Hybrid
857,25-34 years old,Uk,Master degree,Software Developer,7.0,127388.0,Hybrid
859,45-54 years old,Uk,Some college,Software Developer,27.0,76433.0,Remote
861,35-44 years old,Nicaragua,Bachelor degree,Infrastructure & DevOps,12.0,211000.0,Remote
867,18-24 years old,Romania,Bachelor degree,Software Developer,3.0,15536.0,Hybrid
873,45-54 years old,France,Master degree,Software Developer,24.0,71962.0,In-person
874,45-54 years old,Germany,Master degree,Software Developer,22.0,54777.0,Hybrid
875,25-34 years old,Israel,high-school,Software Developer,8.0,100381.0,Hybrid
877,45-54 years old,Finland,Master degree,Software Developer,25.0,80555.0,Hybrid
879,18-24 years old,Netherlands,Bachelor degree,Software Developer,5.0,60147.0,Hybrid
881,45-54 years old,USA,Some college,Software Developer,27.0,170000.0,Hybrid
883,25-34 years old,Switzerland,Associate degree,Software Developer,10.0,89134.0,Hybrid
884,45-54 years old,Serbia,Master degree,Software Developer,25.0,413.0,Remote
886,35-44 years old,USA,Some college,Software Developer,21.0,190000.0,Remote
889,18-24 years old,Croatia,Bachelor degree,Research & Education,3.0,167554.0,Hybrid
890,25-34 years old,Poland,Master degree,Software Developer,4.0,38604.0,Remote
891,35-44 years old,Portugal,Some college,Software Developer,19.0,83777.0,Hybrid
892,25-34 years old,Netherlands,Bachelor degree,Software Developer,2.0,38666.0,Hybrid
893,18-24 years old,USA,Bachelor degree,Security & Blockchain,6.0,120000.0,In-person
894,35-44 years old,Uk,Bachelor degree,Software Developer,11.0,112101.0,Remote
898,18-24 years old,USA,Bachelor degree,Infrastructure & DevOps,3.0,85000.0,In-person
901,25-34 years old,Brazil,Bachelor degree,Software Developer,3.0,34609.0,Remote
903,45-54 years old,USA,Bachelor degree,Software Developer,17.0,160000.0,Remote
907,25-34 years old,Ukraine,Master degree,Software Developer,4.0,10000.0,Remote
909,18-24 years old,Ukraine,Master degree,Software Developer,2.0,1500.0,Remote
912,45-54 years old,Sweden,high-school,Software Developer,34.0,76307.0,In-person
913,25-34 years old,Israel,Bachelor degree,Software Developer,1.0,1889.0,In-person
916,25-34 years old,Hungary,Bachelor degree,Software Developer,7.0,45655.0,Remote
917,35-44 years old,Spain,Professional degree,Software Developer,2.0,19333.0,Hybrid
918,45-54 years old,USA,Bachelor degree,Software Developer,25.0,174000.0,Remote
922,35-44 years old,Portugal,Master degree,Software Developer,10.0,26852.0,Hybrid
923,55-64 years old,Netherlands,high-school,Software Developer,35.0,53703.0,Hybrid
925,25-34 years old,USA,Bachelor degree,Software Developer,8.0,250.0,Hybrid
926,25-34 years old,USA,Bachelor degree,Software Developer,12.0,119000.0,Hybrid
927,35-44 years old,Israel,Bachelor degree,Data & AI,24.0,183493.0,Hybrid
928,25-34 years old,Russia,Bachelor degree,Infrastructure & DevOps,5.0,33613.0,Hybrid
929,35-44 years old,Portugal,Some college,Infrastructure & DevOps,15.0,33296.0,Hybrid
930,45-54 years old,USA,Some college,Software Developer,30.0,80000.0,Hybrid
932,35-44 years old,USA,Bachelor degree,Other,18.0,220000.0,Remote
934,45-54 years old,USA,Bachelor degree,Software Developer,30.0,100000.0,Remote
935,25-34 years old,Spain,Master degree,Software Developer,7.0,51555.0,Remote
936,18-24 years old,France,Master degree,Software Developer,3.0,19333.0,Hybrid
938,25-34 years old,USA,Associate degree,Software Developer,9.0,170000.0,Remote
941,25-34 years old,USA,Master degree,Software Developer,8.0,126000.0,Hybrid
942,35-44 years old,USA,Some college,Software Developer,9.0,78000.0,In-person
943,45-54 years old,USA,Bachelor degree,Management,7.0,80000.0,Hybrid
944,35-44 years old,Bangladesh,Master degree,Software Developer,9.0,23454.0,Hybrid
945,25-34 years old,Iran,Bachelor degree,Software Developer,18.0,60000.0,Remote
948,25-34 years old,India,Bachelor degree,Software Developer,5.0,8614.0,In-person
951,25-34 years old,Cyprus,Master degree,Software Developer,15.0,83777.0,In-person
953,35-44 years old,Canada,Master degree,Software Developer,20.0,218079.0,Remote
954,25-34 years old,Indonesia,Master degree,Research & Education,14.0,22079.0,Hybrid
957,35-44 years old,Denmark,Master degree,Management,17.0,129602.0,Hybrid
958,45-54 years old,France,Master degree,Software Developer,23.0,93642.0,Hybrid
960,25-34 years old,Netherlands,Master degree,Software Developer,7.0,66162.0,In-person
961,25-34 years old,South Africa,Some college,Software Developer,10.0,64570.0,Remote
964,25-34 years old,Netherlands,Some college,Software Developer,18.0,53703.0,Hybrid
965,25-34 years old,Japan,Bachelor degree,Software Developer,11.0,66826.0,Hybrid
966,45-54 years old,Slovenia,Some college,Software Developer,10.0,26852.0,Hybrid
967,25-34 years old,Uk,Bachelor degree,Infrastructure & DevOps,12.0,152865.0,Remote
969,25-34 years old,Poland,Master degree,Software Developer,9.0,3465.0,Hybrid
972,25-34 years old,USA,Master degree,Research & Education,7.0,45000.0,Hybrid
973,25-34 years old,Uk,Master degree,Data & AI,5.0,75159.0,Hybrid
975,25-34 years old,Netherlands,Master degree,Software Developer,7.0,69814.0,Hybrid
977,35-44 years old,USA,Professional degree,Research & Education,20.0,90000.0,Remote
978,25-34 years old,USA,Bachelor degree,Software Developer,7.0,130000.0,Remote
980,18-24 years old,Uk,Bachelor degree,Infrastructure & DevOps,2.0,44586.0,Hybrid
984,25-34 years old,Germany,Bachelor degree,Software Developer,7.0,75184.0,Hybrid
986,25-34 years old,Poland,high-school,Software Developer,10.0,91809.0,Remote
987,25-34 years old,USA,Master degree,Software Developer,7.0,73500.0,Remote
989,35-44 years old,USA,Master degree,Software Developer,7.0,155000.0,Remote
992,35-44 years old,Bosnia and Herzegovina,Bachelor degree,Software Developer,14.0,2468.0,Hybrid
993,35-44 years old,Switzerland,Master degree,Software Developer,8.0,122559.0,Hybrid
994,35-44 years old,USA,Bachelor degree,Software Developer,22.0,184000.0,Remote
995,45-54 years old,Israel,Some college,Software Developer,23.0,87429.0,Hybrid
997,25-34 years old,USA,Bachelor degree,Software Developer,5.0,150000.0,Remote
999,18-24 years old,Poland,Some college,Research & Education,0.0,8909.0,Hybrid
1001,35-44 years old,Saudi Arabia,Master degree,Software Developer,9.0,210645.0,In-person
1003,45-54 years old,USA,Bachelor degree,Software Developer,28.0,130000.0,Remote
1004,25-34 years old,Uk,Associate degree,Software Developer,7.0,101910.0,Remote
1005,35-44 years old,France,Professional degree,Software Developer,12.0,79481.0,Remote
1006,18-24 years old,India,Bachelor degree,Software Developer,2.0,17945.0,In-person
1008,25-34 years old,South Africa,high-school,Software Developer,6.0,4843.0,Remote
1009,25-34 years old,Ukraine,Master degree,Software Developer,6.0,63600.0,Remote
1011,45-54 years old,Czech Republic,Master degree,Software Developer,21.0,34748.0,Remote
1013,35-44 years old,USA,Professional degree,Data & AI,15.0,75000.0,Hybrid
1014,25-34 years old,Uk,Master degree,Software Developer,6.0,63694.0,Hybrid
1016,45-54 years old,USA,Associate degree,Software Developer,8.0,80000.0,In-person
1018,18-24 years old,Germany,high-school,Infrastructure & DevOps,1.0,7733.0,Hybrid
1019,35-44 years old,Mexico,Bachelor degree,Software Developer,13.0,49354.0,Remote
1020,55-64 years old,USA,Bachelor degree,Software Developer,50.0,160000.0,Remote
1021,25-34 years old,Ukraine,Bachelor degree,Software Developer,0.0,4937.0,Remote
1022,35-44 years old,Bulgaria,Bachelor degree,Software Developer,19.0,82384.0,Hybrid
1024,35-44 years old,USA,Master degree,Software Developer,19.0,130000.0,Remote
1025,35-44 years old,USA,Primary-school,Software Developer,23.0,132612.0,Remote
1028,25-34 years old,Russia,Master degree,Software Developer,5.0,47059.0,Remote
1029,25-34 years old,Philippines,Bachelor degree,Software Developer,8.0,25532.0,Remote
1030,35-44 years old,Ukraine,Master degree,Software Developer,20.0,15876.0,Remote
1032,25-34 years old,USA,Bachelor degree,Software Developer,3.0,73000.0,Hybrid
1034,35-44 years old,Poland,Bachelor degree,Software Developer,3.0,28458.0,Remote
1035,55-64 years old,USA,Bachelor degree,Software Developer,34.0,110000.0,Hybrid
1038,55-64 years old,Russia,Some college,Software Developer,32.0,26891.0,Remote
1040,25-34 years old,Bangladesh,Bachelor degree,Infrastructure & DevOps,10.0,45000.0,Remote
1041,35-44 years old,Poland,Master degree,Management,14.0,214812.0,Hybrid
1043,45-54 years old,Germany,Master degree,Software Developer,26.0,64444.0,Hybrid
1048,25-34 years old,Canada,other,Infrastructure & DevOps,12.0,145386.0,Hybrid
1056,35-44 years old,Thailand,Bachelor degree,Software Developer,10.0,15000.0,Remote
1057,35-44 years old,Canada,Bachelor degree,Software Developer,21.0,96937.0,Remote
1061,25-34 years old,Germany,Bachelor degree,Software Developer,7.0,70888.0,Remote
1062,25-34 years old,USA,Bachelor degree,Software Developer,13.0,140000.0,Remote
1063,25-34 years old,Italy,Bachelor degree,Software Developer,6.0,37592.0,Hybrid
1065,35-44 years old,Uk,Professional degree,Software Developer,17.0,117197.0,Hybrid
1067,45-54 years old,USA,Professional degree,Software Developer,22.0,175000.0,Hybrid
1068,25-34 years old,USA,Master degree,Software Developer,3.0,123000.0,In-person
1070,45-54 years old,Uk,Master degree,Software Developer,36.0,98089.0,Remote
1071,35-44 years old,Germany,high-school,Software Developer,25.0,88073.0,Hybrid
1072,45-54 years old,Russia,Some college,Software Developer,22.0,22409.0,In-person
1076,25-34 years old,Mexico,Master degree,Software Developer,9.0,31483.0,Remote
1080,25-34 years old,Czech Republic,Bachelor degree,Software Developer,8.0,65152.0,Remote
1083,25-34 years old,Slovakia,Master degree,Infrastructure & DevOps,6.0,64444.0,Remote
1084,25-34 years old,Switzerland,Bachelor degree,Software Developer,8.0,139271.0,Remote
1085,25-34 years old,Italy,Master degree,Infrastructure & DevOps,4.0,45111.0,Remote
1089,25-34 years old,Netherlands,Bachelor degree,Software Developer,6.0,53703.0,Hybrid
